Table with column headers in rows 3 and 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2024 Poverty and Median Household Income Estimates - Counties, States, and National
Source: U.S. Census Bureau, Small Area Income and Poverty Estimates (SAIPE) Program January 2026, Project No. P-7502872 / Approval CBDRB-FY25-0429.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geographic Information,,,,All Ages,,,,,,Age 0-17,,,,,,Age 5-17 in Families,,,,,,Median Household Income,,,Age 0-4,,,,,
State FIPS Code,County FIPS Code,Postal Code,Name,"Poverty Estimate, All Ages",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, All Ages",90% CI Lower Bound,90% CI Upper Bound,"Poverty Estimate, Age 0-17",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, Age 0-17",90% CI Lower Bound,90% CI Upper Bound,"Poverty Estimate, Age 5-17 in Families",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, Age 5-17 in Families",90% CI Lower Bound,90% CI Upper Bound,Median Household Income,90% CI Lower Bound,90% CI Upper Bound,"Poverty Estimate, Age 0-4",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, Age 0-4",90% CI Lower Bound,90% CI Upper Bound
17,105,IL,Livingston County,"4,081","3,370","4,792",12.2,10.1,14.3,"1,047",766,"1,328",13.9,10.2,17.6,794,572,"1,016",14.2,10.2,18.2,"76,043","69,808","82,278",.,.,.,.,.,.
17,107,IL,Logan County,"2,739","2,196","3,282",11.3,9.1,13.5,617,421,813,12.1,8.3,15.9,425,263,587,11.0,6.8,15.2,"68,362","62,016","74,708",.,.,.,.,.,.
17,109,IL,McDonough County,"4,490","3,362","5,618",18.6,13.9,23.3,998,669,"1,327",20.8,14.0,27.6,711,444,978,20.4,12.7,28.1,"62,276","56,923","67,629",.,.,.,.,.,.
17,111,IL,McHenry County,"19,673","16,855","22,491",6.3,5.4,7.2,"4,747","3,743","5,751",6.9,5.4,8.4,"3,361","2,588","4,134",6.4,4.9,7.9,"102,725","97,999","107,451",.,.,.,.,.,.
17,113,IL,McLean County,"18,930","16,706","21,154",11.6,10.2,13.0,"3,264","2,444","4,084",9.3,7.0,11.6,"2,123","1,490","2,756",8.0,5.6,10.4,"81,913","78,714","85,112",.,.,.,.,.,.
17,115,IL,Macon County,"16,365","13,846","18,884",16.7,14.1,19.3,"5,209","3,982","6,436",23.4,17.9,28.9,"3,205","2,198","4,212",19.6,13.5,25.7,"62,679","59,047","66,311",.,.,.,.,.,.
17,117,IL,Macoupin County,"4,548","3,649","5,447",10.6,8.5,12.7,"1,186",798,"1,574",13.7,9.2,18.2,839,519,"1,159",12.9,8.0,17.8,"69,440","63,194","75,686",.,.,.,.,.,.
17,119,IL,Madison County,"24,651","20,904","28,398",9.6,8.1,11.1,"6,712","5,069","8,355",12.5,9.4,15.6,"4,381","3,117","5,645",10.7,7.6,13.8,"78,648","75,105","82,191",.,.,.,.,.,.
17,121,IL,Marion County,"5,122","4,065","6,179",14.4,11.4,17.4,"1,664","1,180","2,148",20.2,14.3,26.1,"1,184",791,"1,577",19.5,13.0,26.0,"61,813","57,267","66,359",.,.,.,.,.,.
17,123,IL,Marshall County,"1,038",814,"1,262",9.2,7.2,11.2,276,183,369,12.1,8.0,16.2,199,123,275,11.6,7.2,16.0,"75,927","68,954","82,900",.,.,.,.,.,.
17,125,IL,Mason County,"1,670","1,349","1,991",13.5,10.9,16.1,486,353,619,19.6,14.2,25.0,355,247,463,19.1,13.3,24.9,"64,300","57,955","70,645",.,.,.,.,.,.
17,127,IL,Massac County,"2,042","1,574","2,510",15.2,11.7,18.7,579,385,773,21.6,14.4,28.8,424,265,583,20.7,12.9,28.5,"67,637","63,733","71,541",.,.,.,.,.,.
17,129,IL,Menard County,998,752,"1,244",8.4,6.3,10.5,281,191,371,11.2,7.6,14.8,192,119,265,10.4,6.5,14.3,"93,131","84,960","101,302",.,.,.,.,.,.
17,131,IL,Mercer County,"1,368","1,048","1,688",9.1,7.0,11.2,341,230,452,11.0,7.4,14.6,240,151,329,10.1,6.3,13.9,"81,428","75,531","87,325",.,.,.,.,.,.
17,133,IL,Monroe County,"1,636","1,270","2,002",4.7,3.6,5.8,294,200,388,4.1,2.8,5.4,196,128,264,3.4,2.2,4.6,"108,674","101,038","116,310",.,.,.,.,.,.
17,135,IL,Montgomery County,"3,672","2,967","4,377",14.6,11.8,17.4,940,686,"1,194",17.7,12.9,22.5,549,341,757,13.7,8.5,18.9,"62,882","56,189","69,575",.,.,.,.,.,.
17,137,IL,Morgan County,"4,193","3,383","5,003",14.1,11.4,16.8,901,608,"1,194",14.9,10.1,19.7,620,382,858,14.0,8.6,19.4,"67,794","61,803","73,785",.,.,.,.,.,.
17,139,IL,Moultrie County,"1,310",987,"1,633",9.3,7.0,11.6,409,275,543,11.9,8.0,15.8,297,187,407,11.3,7.1,15.5,"76,303","68,291","84,315",.,.,.,.,.,.
17,141,IL,Ogle County,"4,843","3,801","5,885",9.6,7.5,11.7,"1,357","1,017","1,697",12.4,9.3,15.5,932,652,"1,212",11.3,7.9,14.7,"80,221","76,188","84,254",.,.,.,.,.,.
17,143,IL,Peoria County,"26,646","22,409","30,883",15.3,12.9,17.7,"8,602","6,391","10,813",20.5,15.2,25.8,"6,102","4,349","7,855",19.8,14.1,25.5,"68,190","64,508","71,872",.,.,.,.,.,.
17,145,IL,Perry County,"2,723","2,097","3,349",15.2,11.7,18.7,634,443,825,17.3,12.1,22.5,413,257,569,14.8,9.2,20.4,"67,372","60,359","74,385",.,.,.,.,.,.
17,147,IL,Piatt County,"1,133",860,"1,406",6.9,5.2,8.6,269,183,355,7.6,5.2,10.0,192,123,261,7.1,4.6,9.6,"93,892","86,269","101,515",.,.,.,.,.,.
17,149,IL,Pike County,"1,870","1,499","2,241",13.5,10.8,16.2,509,354,664,15.9,11.0,20.8,371,246,496,15.6,10.4,20.8,"65,396","58,901","71,891",.,.,.,.,.,.
17,151,IL,Pope County,599,454,744,16.5,12.5,20.5,74,48,100,19.4,12.5,26.3,55,33,77,20.4,12.2,28.6,"52,892","46,707","59,077",.,.,.,.,.,.
17,153,IL,Pulaski County,"1,024",777,"1,271",21.7,16.4,27.0,343,234,452,34.9,23.8,46.0,239,147,331,32.7,20.2,45.2,"49,770","43,909","55,631",.,.,.,.,.,.
17,155,IL,Putnam County,434,327,541,7.7,5.8,9.6,115,77,153,11.2,7.5,14.9,85,53,117,11.0,6.9,15.1,"81,998","73,921","90,075",.,.,.,.,.,.
17,157,IL,Randolph County,"4,015","3,341","4,689",14.7,12.2,17.2,"1,027",768,"1,286",17.5,13.1,21.9,713,507,919,16.3,11.6,21.0,"66,513","60,819","72,207",.,.,.,.,.,.
17,159,IL,Richland County,"1,960","1,523","2,397",13.0,10.1,15.9,488,327,649,14.7,9.8,19.6,341,214,468,13.5,8.5,18.5,"68,273","62,565","73,981",.,.,.,.,.,.
17,161,IL,Rock Island County,"17,427","14,211","20,643",12.6,10.3,14.9,"5,684","4,102","7,266",18.2,13.1,23.3,"3,689","2,473","4,905",15.8,10.6,21.0,"67,335","63,595","71,075",.,.,.,.,.,.
17,163,IL,St. Clair County,"31,351","25,723","36,979",12.7,10.4,15.0,"9,233","6,484","11,982",16.8,11.8,21.8,"6,659","4,526","8,792",15.8,10.7,20.9,"78,110","74,511","81,709",.,.,.,.,.,.
17,165,IL,Saline County,"4,000","3,270","4,730",18.0,14.7,21.3,"1,271","1,005","1,537",28.0,22.1,33.9,831,598,"1,064",24.9,17.9,31.9,"55,561","49,876","61,246",.,.,.,.,.,.
17,167,IL,Sangamon County,"18,612","15,413","21,811",9.7,8.0,11.4,"5,038","3,320","6,756",12.4,8.2,16.6,"3,405","2,040","4,770",11.2,6.7,15.7,"78,931","74,395","83,467",.,.,.,.,.,.
17,169,IL,Schuyler County,869,703,"1,035",13.1,10.6,15.6,145,97,193,12.7,8.5,16.9,108,68,148,12.6,7.9,17.3,"64,481","56,858","72,104",.,.,.,.,.,.
17,171,IL,Scott County,564,439,689,12.0,9.3,14.7,156,105,207,16.5,11.1,21.9,113,70,156,15.8,9.7,21.9,"70,164","62,210","78,118",.,.,.,.,.,.
17,173,IL,Shelby County,"1,789","1,322","2,256",8.8,6.5,11.1,464,306,622,11.0,7.3,14.7,328,198,458,10.2,6.2,14.2,"75,612","68,738","82,486",.,.,.,.,.,.
17,175,IL,Stark County,543,405,681,10.5,7.8,13.2,158,106,210,13.7,9.2,18.2,113,69,157,13.5,8.3,18.7,"69,557","61,774","77,340",.,.,.,.,.,.
17,177,IL,Stephenson County,"5,957","4,924","6,990",14.1,11.7,16.5,"1,786","1,327","2,245",20.4,15.2,25.6,"1,141",761,"1,521",17.4,11.6,23.2,"64,425","59,344","69,506",.,.,.,.,.,.
17,179,IL,Tazewell County,"10,518","8,335","12,701",8.3,6.6,10.0,"2,508","1,746","3,270",9.3,6.5,12.1,"1,695","1,123","2,267",8.2,5.4,11.0,"78,573","73,632","83,514",.,.,.,.,.,.
17,181,IL,Union County,"2,811","2,311","3,311",17.2,14.1,20.3,678,486,870,20.0,14.3,25.7,470,311,629,18.1,12.0,24.2,"58,887","52,477","65,297",.,.,.,.,.,.
17,183,IL,Vermilion County,"11,821","9,764","13,878",17.3,14.3,20.3,"4,343","3,351","5,335",26.8,20.7,32.9,"3,137","2,319","3,955",26.0,19.2,32.8,"62,150","58,052","66,248",.,.,.,.,.,.
17,185,IL,Wabash County,"1,505","1,170","1,840",14.1,11.0,17.2,360,252,468,16.3,11.4,21.2,248,161,335,14.2,9.2,19.2,"64,798","59,493","70,103",.,.,.,.,.,.
17,187,IL,Warren County,"2,148","1,742","2,554",14.0,11.3,16.7,631,478,784,17.9,13.6,22.2,444,317,571,17.3,12.3,22.3,"65,671","59,506","71,836",.,.,.,.,.,.
17,189,IL,Washington County,977,736,"1,218",7.3,5.5,9.1,207,134,280,7.8,5.0,10.6,142,84,200,7.2,4.2,10.2,"81,555","76,668","86,442",.,.,.,.,.,.
17,191,IL,Wayne County,"2,250","1,788","2,712",14.3,11.4,17.2,634,445,823,18.2,12.8,23.6,443,291,595,17.0,11.2,22.8,"61,720","56,763","66,677",.,.,.,.,.,.
17,193,IL,White County,"1,823","1,438","2,208",14.2,11.2,17.2,498,341,655,18.0,12.3,23.7,372,247,497,17.3,11.5,23.1,"60,953","54,499","67,407",.,.,.,.,.,.
17,195,IL,Whiteside County,"5,343","4,035","6,651",10.0,7.6,12.4,"1,698","1,149","2,247",14.5,9.8,19.2,"1,182",739,"1,625",13.5,8.5,18.5,"67,711","63,543","71,879",.,.,.,.,.,.
17,197,IL,Will County,"53,946","46,992","60,900",7.7,6.7,8.7,"14,157","11,414","16,900",8.9,7.2,10.6,"9,886","7,791","11,981",8.1,6.4,9.8,"109,888","105,835","113,941",.,.,.,.,.,.
17,199,IL,Williamson County,"7,984","6,462","9,506",12.3,10.0,14.6,"1,998","1,369","2,627",14.8,10.1,19.5,"1,468",980,"1,956",14.2,9.5,18.9,"67,879","63,411","72,347",.,.,.,.,.,.
17,201,IL,Winnebago County,"41,345","36,719","45,971",14.8,13.1,16.5,"13,125","10,696","15,554",20.3,16.5,24.1,"9,416","7,431","11,401",19.7,15.6,23.8,"67,363","64,223","70,503",.,.,.,.,.,.
17,203,IL,Woodford County,"2,035","1,523","2,547",5.5,4.1,6.9,519,334,704,5.8,3.7,7.9,346,196,496,5.1,2.9,7.3,"100,761","96,171","105,351",.,.,.,.,.,.
18,000,IN,Indiana,"813,329","793,289","833,369",12.1,11.8,12.4,"245,382","233,248","257,516",15.8,15.0,16.6,"168,532","157,969","179,095",14.6,13.7,15.5,"71,958","71,334","72,582","70,908","65,382","76,434",18.1,16.7,19.5
18,001,IN,Adams County,"3,986","3,146","4,826",11.1,8.8,13.4,"1,980","1,400","2,560",17.7,12.5,22.9,"1,392",908,"1,876",17.3,11.3,23.3,"70,816","65,516","76,116",.,.,.,.,.,.
18,003,IN,Allen County,"48,134","42,744","53,524",12.3,10.9,13.7,"17,241","14,497","19,985",17.6,14.8,20.4,"12,307","10,188","14,426",17.0,14.1,19.9,"70,889","68,650","73,128",.,.,.,.,.,.
18,005,IN,Bartholomew County,"7,019","5,548","8,490",8.4,6.6,10.2,"2,002","1,362","2,642",10.2,6.9,13.5,"1,407",887,"1,927",9.7,6.1,13.3,"81,019","75,882","86,156",.,.,.,.,.,.
18,007,IN,Benton County,860,673,"1,047",9.8,7.7,11.9,283,201,365,13.3,9.4,17.2,203,137,269,12.9,8.7,17.1,"71,407","63,951","78,863",.,.,.,.,.,.
18,009,IN,Blackford County,"1,415","1,079","1,751",12.2,9.3,15.1,419,277,561,16.6,11.0,22.2,285,168,402,14.7,8.7,20.7,"61,080","54,421","67,739",.,.,.,.,.,.
18,011,IN,Boone County,"4,332","3,377","5,287",5.6,4.4,6.8,"1,091",806,"1,376",5.6,4.1,7.1,766,550,982,5.2,3.7,6.7,"108,013","102,804","113,222",.,.,.,.,.,.
18,013,IN,Brown County,"1,440","1,102","1,778",9.3,7.1,11.5,331,227,435,13.4,9.2,17.6,240,153,327,12.4,7.9,16.9,"78,954","72,632","85,276",.,.,.,.,.,.
18,015,IN,Carroll County,"1,846","1,427","2,265",9.0,7.0,11.0,461,320,602,10.6,7.3,13.9,327,212,442,10.1,6.6,13.6,"73,200","65,274","81,126",.,.,.,.,.,.
18,017,IN,Cass County,"5,070","4,179","5,961",13.7,11.3,16.1,"1,746","1,402","2,090",20.5,16.5,24.5,"1,102",845,"1,359",17.9,13.7,22.1,"62,153","55,757","68,549",.,.,.,.,.,.
18,019,IN,Clark County,"13,161","10,874","15,448",10.5,8.7,12.3,"3,418","2,484","4,352",12.7,9.2,16.2,"2,204","1,504","2,904",11.1,7.6,14.6,"74,005","69,216","78,794",.,.,.,.,.,.
18,021,IN,Clay County,"3,133","2,493","3,773",12.0,9.5,14.5,997,734,"1,260",17.2,12.7,21.7,657,452,862,15.0,10.3,19.7,"69,967","63,819","76,115",.,.,.,.,.,.
18,023,IN,Clinton County,"4,060","3,328","4,792",12.6,10.3,14.9,"1,461","1,131","1,791",17.4,13.5,21.3,963,707,"1,219",15.4,11.3,19.5,"68,732","62,312","75,152",.,.,.,.,.,.
18,025,IN,Crawford County,"1,713","1,366","2,060",16.4,13.1,19.7,515,367,663,23.8,16.9,30.7,348,226,470,21.5,13.9,29.1,"60,088","54,330","65,846",.,.,.,.,.,.
18,027,IN,Daviess County,"4,161","3,317","5,005",12.4,9.9,14.9,"1,546","1,108","1,984",15.4,11.0,19.8,"1,088",743,"1,433",14.8,10.1,19.5,"68,390","61,968","74,812",.,.,.,.,.,.
18,029,IN,Dearborn County,"4,347","3,530","5,164",8.6,7.0,10.2,"1,015",721,"1,309",9.5,6.8,12.2,718,482,954,8.8,5.9,11.7,"89,808","82,750","96,866",.,.,.,.,.,.
18,031,IN,Decatur County,"2,698","2,111","3,285",10.4,8.1,12.7,781,537,"1,025",13.1,9.0,17.2,532,332,732,12.0,7.5,16.5,"71,515","63,403","79,627",.,.,.,.,.,.
18,033,IN,De Kalb County,"3,877","3,115","4,639",8.9,7.2,10.6,"1,170",836,"1,504",11.5,8.2,14.8,790,526,"1,054",10.5,7.0,14.0,"81,096","76,365","85,827",.,.,.,.,.,.
18,035,IN,Delaware County,"21,509","19,308","23,710",20.5,18.4,22.6,"4,294","3,442","5,146",21.9,17.6,26.2,"2,998","2,309","3,687",20.8,16.0,25.6,"55,462","51,952","58,972",.,.,.,.,.,.
18,037,IN,Dubois County,"3,292","2,601","3,983",7.7,6.1,9.3,868,629,"1,107",8.5,6.2,10.8,573,377,769,7.4,4.9,9.9,"80,326","73,426","87,226",.,.,.,.,.,.
18,039,IN,Elkhart County,"22,119","18,954","25,284",10.8,9.3,12.3,"7,975","6,368","9,582",14.7,11.7,17.7,"5,521","4,409","6,633",13.8,11.0,16.6,"71,053","67,077","75,029",.,.,.,.,.,.
18,041,IN,Fayette County,"3,725","3,071","4,379",16.2,13.4,19.0,"1,251",984,"1,518",25.1,19.7,30.5,840,622,"1,058",22.8,16.9,28.7,"60,267","53,927","66,607",.,.,.,.,.,.
18,043,IN,Floyd County,"8,197","6,677","9,717",10.2,8.3,12.1,"2,236","1,583","2,889",12.6,8.9,16.3,"1,508","1,009","2,007",11.0,7.3,14.7,"76,310","70,800","81,820",.,.,.,.,.,.
18,045,IN,Fountain County,"1,898","1,513","2,283",11.4,9.1,13.7,535,378,692,14.5,10.2,18.8,379,258,500,14.1,9.6,18.6,"68,344","62,190","74,498",.,.,.,.,.,.
18,047,IN,Franklin County,"1,989","1,519","2,459",8.6,6.6,10.6,521,368,674,10.6,7.5,13.7,369,245,493,9.8,6.5,13.1,"79,204","71,573","86,835",.,.,.,.,.,.
18,049,IN,Fulton County,"2,336","1,879","2,793",11.8,9.5,14.1,715,535,895,16.1,12.0,20.2,485,333,637,14.4,9.9,18.9,"64,566","57,965","71,167",.,.,.,.,.,.
18,051,IN,Gibson County,"3,327","2,658","3,996",10.3,8.2,12.4,948,705,"1,191",12.8,9.5,16.1,644,448,840,11.5,8.0,15.0,"72,427","65,301","79,553",.,.,.,.,.,.
18,053,IN,Grant County,"11,026","9,138","12,914",17.9,14.8,21.0,"3,232","2,425","4,039",23.3,17.5,29.1,"2,267","1,625","2,909",22.0,15.8,28.2,"52,314","48,070","56,558",.,.,.,.,.,.
18,055,IN,Greene County,"4,263","3,565","4,961",13.8,11.5,16.1,"1,095",814,"1,376",16.9,12.6,21.2,833,614,"1,052",17.2,12.7,21.7,"67,268","61,222","73,314",.,.,.,.,.,.
18,057,IN,Hamilton County,"17,518","15,069","19,967",4.7,4.0,5.4,"3,968","3,053","4,883",4.3,3.3,5.3,"2,916","2,231","3,601",4.1,3.1,5.1,"127,452","121,758","133,146",.,.,.,.,.,.
18,059,IN,Hancock County,"5,126","4,136","6,116",5.8,4.7,6.9,"1,193",840,"1,546",5.9,4.1,7.7,829,545,"1,113",5.5,3.6,7.4,"96,513","87,744","105,282",.,.,.,.,.,.
18,061,IN,Harrison County,"3,495","2,789","4,201",8.9,7.1,10.7,801,532,"1,070",9.4,6.2,12.6,572,353,791,8.7,5.3,12.1,"79,264","70,627","87,901",.,.,.,.,.,.
18,063,IN,Hendricks County,"10,522","8,429","12,615",5.6,4.5,6.7,"3,012","2,186","3,838",6.6,4.8,8.4,"2,259","1,572","2,946",6.4,4.5,8.3,"93,476","88,242","98,710",.,.,.,.,.,.
18,065,IN,Henry County,"6,595","5,457","7,733",14.5,12.0,17.0,"1,786","1,358","2,214",18.6,14.1,23.1,"1,215",875,"1,555",16.7,12.0,21.4,"67,538","62,272","72,804",.,.,.,.,.,.
18,067,IN,Howard County,"11,228","9,408","13,048",13.6,11.4,15.8,"3,467","2,569","4,365",18.6,13.8,23.4,"2,309","1,607","3,011",16.5,11.5,21.5,"67,297","61,357","73,237",.,.,.,.,.,.
18,069,IN,Huntington County,"3,120","2,406","3,834",8.8,6.8,10.8,945,654,"1,236",12.1,8.4,15.8,669,431,907,11.6,7.5,15.7,"72,146","69,229","75,063",.,.,.,.,.,.
18,071,IN,Jackson County,"5,266","4,365","6,167",11.3,9.4,13.2,"1,568","1,107","2,029",13.1,9.2,17.0,"1,037",660,"1,414",12.2,7.7,16.7,"72,024","63,971","80,077",.,.,.,.,.,.
18,073,IN,Jasper County,"3,328","2,728","3,928",10.1,8.3,11.9,891,641,"1,141",12.1,8.7,15.5,633,428,838,11.5,7.8,15.2,"76,990","73,287","80,693",.,.,.,.,.,.
18,075,IN,Jay County,"2,910","2,391","3,429",14.7,12.1,17.3,"1,107",816,"1,398",21.8,16.1,27.5,752,524,980,20.5,14.3,26.7,"58,963","53,010","64,916",.,.,.,.,.,.
18,077,IN,Jefferson County,"4,351","3,515","5,187",14.2,11.5,16.9,"1,077",762,"1,392",17.5,12.4,22.6,760,512,"1,008",16.7,11.3,22.1,"70,467","64,128","76,806",.,.,.,.,.,.
18,079,IN,Jennings County,"3,559","2,908","4,210",13.1,10.7,15.5,"1,037",755,"1,319",16.8,12.2,21.4,720,486,954,15.7,10.6,20.8,"65,766","58,779","72,753",.,.,.,.,.,.
18,081,IN,Johnson County,"12,136","9,923","14,349",7.3,6.0,8.6,"3,087","2,103","4,071",7.7,5.2,10.2,"2,155","1,369","2,941",7.1,4.5,9.7,"95,247","89,574","100,920",.,.,.,.,.,.
18,083,IN,Knox County,"4,082","3,110","5,054",11.9,9.1,14.7,"1,199",790,"1,608",16.1,10.6,21.6,885,550,"1,220",16.0,9.9,22.1,"61,618","55,674","67,562",.,.,.,.,.,.
18,085,IN,Kosciusko County,"7,682","6,252","9,112",9.7,7.9,11.5,"2,280","1,709","2,851",12.5,9.4,15.6,"1,593","1,135","2,051",11.7,8.3,15.1,"77,464","72,303","82,625",.,.,.,.,.,.
18,087,IN,Lagrange County,"3,429","2,603","4,255",8.4,6.4,10.4,"1,544","1,044","2,044",12.3,8.3,16.3,"1,067",647,"1,487",11.7,7.1,16.3,"79,761","72,289","87,233",.,.,.,.,.,.
18,089,IN,Lake County,"66,427","59,185","73,669",13.3,11.8,14.8,"21,853","18,247","25,459",19.5,16.3,22.7,"15,499","12,504","18,494",18.3,14.8,21.8,"73,228","70,499","75,957",.,.,.,.,.,.
18,091,IN,La Porte County,"14,209","11,864","16,554",13.6,11.4,15.8,"4,637","3,557","5,717",20.4,15.7,25.1,"3,312","2,511","4,113",19.3,14.6,24.0,"68,116","63,528","72,704",.,.,.,.,.,.
18,093,IN,Lawrence County,"5,503","4,504","6,502",12.4,10.2,14.6,"1,555","1,179","1,931",16.8,12.7,20.9,"1,060",756,"1,364",15.4,11.0,19.8,"65,270","60,086","70,454",.,.,.,.,.,.
18,095,IN,Madison County,"18,706","15,949","21,463",14.6,12.5,16.7,"5,424","4,242","6,606",19.6,15.3,23.9,"3,441","2,462","4,420",17.1,12.2,22.0,"60,842","56,457","65,227",.,.,.,.,.,.
18,097,IN,Marion County,"152,269","140,618","163,920",15.8,14.6,17.0,"55,495","49,140","61,850",23.3,20.6,26.0,"37,217","32,352","42,082",21.8,19.0,24.6,"67,368","65,180","69,556",.,.,.,.,.,.
18,099,IN,Marshall County,"5,519","4,652","6,386",12.1,10.2,14.0,"1,615","1,256","1,974",14.8,11.5,18.1,995,692,"1,298",12.2,8.5,15.9,"68,762","63,520","74,004",.,.,.,.,.,.
18,101,IN,Martin County,"1,178",926,"1,430",12.2,9.6,14.8,318,224,412,15.1,10.6,19.6,222,146,298,14.3,9.4,19.2,"69,890","62,199","77,581",.,.,.,.,.,.
18,103,IN,Miami County,"4,076","3,192","4,960",12.7,9.9,15.5,"1,311",916,"1,706",18.3,12.8,23.8,926,616,"1,236",17.1,11.4,22.8,"63,980","57,924","70,036",.,.,.,.,.,.
18,105,IN,Monroe County,"21,437","18,825","24,049",16.8,14.8,18.8,"2,892","2,146","3,638",13.6,10.1,17.1,"1,606","1,051","2,161",10.0,6.6,13.4,"67,457","62,675","72,239",.,.,.,.,.,.
18,107,IN,Montgomery County,"3,875","3,090","4,660",10.3,8.2,12.4,"1,118",772,"1,464",13.1,9.0,17.2,795,516,"1,074",12.5,8.1,16.9,"72,249","67,510","76,988",.,.,.,.,.,.
18,109,IN,Morgan County,"6,826","5,588","8,064",9.4,7.7,11.1,"1,894","1,421","2,367",12.1,9.1,15.1,"1,278",890,"1,666",10.8,7.5,14.1,"79,686","74,019","85,353",.,.,.,.,.,.
18,111,IN,Newton County,"1,383","1,081","1,685",9.9,7.7,12.1,388,264,512,13.3,9.1,17.5,280,178,382,13.2,8.4,18.0,"78,688","73,631","83,745",.,.,.,.,.,.
18,113,IN,Noble County,"4,616","3,605","5,627",9.8,7.6,12.0,"1,491","1,059","1,923",13.1,9.3,16.9,982,637,"1,327",11.9,7.7,16.1,"72,859","66,912","78,806",.,.,.,.,.,.
18,115,IN,Ohio County,670,548,792,11.3,9.2,13.4,179,141,217,15.7,12.4,19.0,146,117,175,15.9,12.8,19.0,"70,568","62,655","78,481",.,.,.,.,.,.
18,117,IN,Orange County,"2,606","2,081","3,131",13.4,10.7,16.1,799,528,"1,070",18.1,12.0,24.2,566,341,791,17.2,10.4,24.0,"59,152","52,927","65,377",.,.,.,.,.,.
18,119,IN,Owen County,"2,620","2,065","3,175",12.2,9.6,14.8,763,541,985,17.6,12.5,22.7,523,338,708,16.3,10.5,22.1,"68,262","61,295","75,229",.,.,.,.,.,.
18,121,IN,Parke County,"2,151","1,712","2,590",13.9,11.1,16.7,641,437,845,17.5,11.9,23.1,428,263,593,15.9,9.8,22.0,"66,511","59,345","73,677",.,.,.,.,.,.
18,123,IN,Perry County,"2,466","1,968","2,964",13.9,11.1,16.7,663,487,839,17.5,12.9,22.1,463,322,604,16.0,11.1,20.9,"64,109","56,889","71,329",.,.,.,.,.,.
18,125,IN,Pike County,"1,075",790,"1,360",9.0,6.6,11.4,314,212,416,12.2,8.2,16.2,217,136,298,11.0,6.9,15.1,"79,458","75,116","83,800",.,.,.,.,.,.
18,127,IN,Porter County,"14,639","12,158","17,120",8.5,7.1,9.9,"3,524","2,638","4,410",9.8,7.3,12.3,"2,502","1,785","3,219",9.1,6.5,11.7,"88,795","82,521","95,069",.,.,.,.,.,.
18,129,IN,Posey County,"2,126","1,646","2,606",8.6,6.7,10.5,566,402,730,10.8,7.7,13.9,371,230,512,9.2,5.7,12.7,"81,600","74,890","88,310",.,.,.,.,.,.
18,131,IN,Pulaski County,"1,468","1,163","1,773",12.0,9.5,14.5,410,287,533,15.4,10.8,20.0,293,191,395,14.6,9.5,19.7,"65,929","58,740","73,118",.,.,.,.,.,.
18,133,IN,Putnam County,"3,658","2,836","4,480",10.9,8.4,13.4,884,617,"1,151",12.1,8.5,15.7,633,420,846,11.6,7.7,15.5,"79,859","74,570","85,148",.,.,.,.,.,.
18,135,IN,Randolph County,"3,797","3,142","4,452",15.8,13.1,18.5,"1,198",919,"1,477",22.0,16.9,27.1,903,683,"1,123",22.7,17.2,28.2,"62,925","55,978","69,872",.,.,.,.,.,.
18,137,IN,Ripley County,"2,762","2,180","3,344",9.6,7.6,11.6,872,629,"1,115",13.1,9.5,16.7,588,380,796,11.8,7.6,16.0,"70,676","63,226","78,126",.,.,.,.,.,.
18,139,IN,Rush County,"1,882","1,481","2,283",11.4,9.0,13.8,512,355,669,14.3,9.9,18.7,368,238,498,13.8,8.9,18.7,"66,985","59,413","74,557",.,.,.,.,.,.
18,141,IN,St. Joseph County,"40,149","35,836","44,462",15.4,13.7,17.1,"13,090","11,127","15,053",21.3,18.1,24.5,"8,953","7,329","10,577",19.6,16.0,23.2,"64,573","61,122","68,024",.,.,.,.,.,.
18,143,IN,Scott County,"3,654","2,877","4,431",15.0,11.8,18.2,"1,109",803,"1,415",20.7,15.0,26.4,796,550,"1,042",19.8,13.7,25.9,"62,514","55,401","69,627",.,.,.,.,.,.
18,145,IN,Shelby County,"4,860","3,959","5,761",10.9,8.9,12.9,"1,333",985,"1,681",13.5,10.0,17.0,959,688,"1,230",13.0,9.3,16.7,"76,907","70,272","83,542",.,.,.,.,.,.
18,147,IN,Spencer County,"2,090","1,738","2,442",10.4,8.6,12.2,576,466,686,13.6,11.0,16.2,464,379,549,14.4,11.8,17.0,"76,789","69,640","83,938",.,.,.,.,.,.
18,149,IN,Starke County,"2,615","1,944","3,286",11.2,8.3,14.1,822,555,"1,089",16.1,10.9,21.3,582,366,798,15.2,9.6,20.8,"67,134","61,107","73,161",.,.,.,.,.,.
18,151,IN,Steuben County,"3,094","2,380","3,808",9.4,7.2,11.6,845,583,"1,107",12.8,8.8,16.8,596,386,806,12.1,7.8,16.4,"77,285","73,180","81,390",.,.,.,.,.,.
