Name,Address,State,Website,Type,LAT,LON
Alabama A & M University,"4900 Meridian Street, Normal, Alabama 35762",Alabama,www.aamu.edu/,"4-year, Public",34.783368,-86.568502
Alabama State University,"915 S Jackson Street, Montgomery, Alabama 36104-0271",Alabama,www.alasu.edu/,"4-year, Public",32.364317,-86.295677
Bishop State Community College,"351 North Broad Street, Mobile, Alabama 36603-5898",Alabama,www.bishop.edu/,"2-year, Public",30.693972,-88.056982
Gadsden State Community College,"1001 George Wallace Dr, Gadsden, Alabama 35903",Alabama,www.gadsdenstate.edu/,"2-year, Public",33.994001,-85.991438
H Councill Trenholm State Community College,"1225 Air Base Blvd, Montgomery, Alabama 36108-3199",Alabama,www.trenholmstate.edu/,"2-year, Public",32.350109,-86.343057
J. F. Drake State Community and Technical College,"3421 Meridian St N, Huntsville, Alabama 35811",Alabama,https://www.drakestate.edu/,"2-year, Public",34.771858,-86.572885
Lawson State Community College,"3060 Wilson Rd SW, Birmingham, Alabama 35221-1717",Alabama,www.lawsonstate.edu/,"2-year, Public",33.450814,-86.888844
Miles College,"5500 Myron Massey Blvd, Fairfield, Alabama 35064-2621",Alabama,www.miles.edu/,"4-year, Private not-for-profit",33.482442,-86.908751
Oakwood University,"7000 Adventist Blvd NW, Huntsville, Alabama 35896",Alabama,https://www2.oakwood.edu/,"4-year, Private not-for-profit",34.756344,-86.652705
Shelton State Community College,"9500 Old Greensboro Rd, Tuscaloosa, Alabama 35405-8522",Alabama,www.sheltonstate.edu/,"2-year, Public",33.120531,-87.56148
Stillman College,"3601 Stillman Boulevard, Tuscaloosa, Alabama 35401",Alabama,https://stillman.edu/,"4-year, Private not-for-profit",33.200006,-87.585278
Talladega College,"627 West Battle Street, Talladega, Alabama 35160",Alabama,www.talladega.edu/,"4-year, Private not-for-profit",33.433472,-86.112704
Tuskegee University,"Kresge Center, 3rd Floor, Tuskegee, Alabama 36088-1920",Alabama,www.tuskegee.edu/,"4-year, Private not-for-profit",32.4309,-85.708492
Arkansas Baptist College,"1600 Dr. Martin Luther King Jr. Drive, Little Rock, Arkansas 72202-6068",Arkansas,www.arkansasbaptist.edu/,"4-year, primarily associate’s, Private not-for-profit",34.734751,-92.290555
Philander Smith College,"900 W. Daisy Bates Drive, Little Rock, Arkansas 72202-3799",Arkansas,https://www.philander.edu/,"4-year, Private not-for-profit",NA,NA
Shorter College,"604 Locust St, N Little Rock, Arkansas 72114",Arkansas,www.shortercollege.edu/,"2-year, Private not-for-profit",34.75933,-92.261331
University of Arkansas at Pine Bluff,"1200 N University Mail Slot 4789, Pine Bluff, Arkansas 71601",Arkansas,www.uapb.edu/,"4-year, Public",34.244031,-92.018683
Delaware State University,"1200 N. Dupont Highway, Dover, Delaware 19901",Delaware,www.desu.edu/,"4-year, Public",39.187173,-75.54053
Howard University,"2400 Sixth St NW, Washington, District of Columbia 20059",Washington,www.howard.edu/,"4-year, Private not-for-profit",38.922392,-77.018966
University of the District of Columbia,"4200 Connecticut Ave NW, Washington, District of Columbia 20008",Connecticut,www.udc.edu/,"4-year, Public",38.943819,-77.066247
University of the District of Columbia-David A Clarke School of Law,"4340 Connecticut Ave NW, Washington, District of Columbia 20008",Connecticut,www.law.udc.edu/,"4-year, Public",NA,NA
Bethune-Cookman University,"640 Dr Mary McLeod Bethune Blvd, Daytona Beach, Florida 32114-3099",Florida,www.cookman.edu/,"4-year, Private not-for-profit",29.207195,-81.032946
Edward Waters College,"1658 Kings Rd, Jacksonville, Florida 32209",Florida,www.ewc.edu/,"4-year, Private not-for-profit",NA,NA
Florida Agricultural and Mechanical University,"1500 S Martin Luther King Jr Blvd, Tallahassee, Florida 32307",Florida,www.famu.edu/,"4-year, Public",30.428504,-84.290226
Florida Memorial University,"15800 NW 42 Avenue, Miami Gardens, Florida 33054-6199",Florida,www.fmuniv.edu/,"4-year, Private not-for-profit",25.918278,-80.270753
Albany State University,"504 College Drive, Albany, Georgia 31705",Georgia,https://www.asurams.edu/,"4-year, Public",31.56928,-84.141825
Clark Atlanta University,"223 James P Brawley Drive, SW, Atlanta, Georgia 30314-4391",Georgia,www.cau.edu/,"4-year, Private not-for-profit",33.747628,-84.412584
Fort Valley State University,"1005 State University Dr, Fort Valley, Georgia 31030-4313",Georgia,www.fvsu.edu/,"4-year, Public",32.537595,-83.89537
Interdenominational Theological Center,"700 Martin Luther King Jr Dr SW, Atlanta, Georgia 30314-4143",Georgia,www.itc.edu/,"4-year, Private not-for-profit",33.752338,-84.409207
Morehouse College,"830 Westview Dr SW, Atlanta, Georgia 30314",Georgia,www.morehouse.edu/,"4-year, Private not-for-profit",33.745982,-84.414917
Morehouse School of Medicine,"720 Westview Drive, S.W., Atlanta, Georgia 30310",Georgia,www.msm.edu/,"4-year, Private not-for-profit",33.742888,-84.41186
Paine College,"1235 15th St, Augusta, Georgia 30901-3182",Georgia,www.paine.edu/,"4-year, Private not-for-profit",33.469545,-81.993225
Savannah State University,"3219 College Street, Savannah, Georgia 31404-5310",Georgia,www.savannahstate.edu/,"4-year, Public",32.024781,-81.063377
Spelman College,"350 Spelman Lane SW, Atlanta, Georgia 30314-4399",Georgia,www.spelman.edu/,"4-year, Private not-for-profit",33.745279,-84.411527
Kentucky State University,"400 East Main Street, Frankfort, Kentucky 40601-2355",Kentucky,www.kysu.edu/,"4-year, Public",38.201427,-84.855402
Simmons College of Kentucky,"1018 South 7th Street, Louisville, Kentucky 40203-3322",Kentucky,https://www.simmonscollegeky.edu/,"4-year, Private not-for-profit",38.239519,-85.764811
Dillard University,"2601 Gentilly Blvd, New Orleans, Louisiana 70122",Louisiana,www.dillard.edu/,"4-year, Private not-for-profit",29.996587,-90.06464
Grambling State University,"403 Main Street, Grambling, Louisiana 71245",Louisiana,www.gram.edu/,"4-year, Public",32.523797,-92.713245
Southern University and A & M College,"P.O. Box 9374, Harding Blvd, Baton Rouge, Louisiana 70813",Louisiana,www.subr.edu/,"4-year, Public",30.524558,-91.190105
Southern University at New Orleans,"6400 Press Drive, New Orleans, Louisiana 70126",Louisiana,www.suno.edu/,"4-year, Public",30.026162,-90.044912
Southern University at Shreveport,"3050 Martin Luther King Dr, Shreveport, Louisiana 71107",Louisiana,www.susla.edu/,"2-year, Public",32.545632,-93.834559
Southern University Law Center,"Baton Rouge, Louisiana 70813",Louisiana,www.sulc.edu/,"4-year, Public",30.523898,-91.194417
Xavier University of Louisiana,"1 Drexel Drive, New Orleans, Louisiana 70125-1098",Louisiana,https://www.xula.edu/,"4-year, Private not-for-profit",29.964162,-90.107307
Bowie State University,"14000 Jericho Park Rd, Bowie, Maryland 20715-9465",Maryland,www.bowiestate.edu/,"4-year, Public",39.018185,-76.759721
Coppin State University,"2500 West North Avenue, Baltimore, Maryland 21216-3698",Maryland,www.coppin.edu/,"4-year, Public",39.311258,-76.658687
Morgan State University,"1700 East Cold Spring Lane, Baltimore, Maryland 21251-0001",Maryland,https://www.morgan.edu/,"4-year, Public",39.344161,-76.585565
University of Maryland Eastern Shore,"J.T. Williams Hall, Princess Anne, Maryland 21853-1299",Maryland,www.umes.edu/,"4-year, Public",38.207386,-75.686852
Alcorn State University,"1000 ASU Dr Ste 359, Alcorn State, Mississippi 39096-7500",Mississippi,www.alcorn.edu/,"4-year, Public",31.877216,-91.142854
Coahoma Community College,"3240 Friars Point Rd, Clarksdale, Mississippi 38614",Mississippi,www.coahomacc.edu/,"2-year, Public",34.254417,-90.568469
Jackson State University,"1400 John R. Lynch Street, Jackson, Mississippi 39217",Mississippi,https://www.jsums.edu/,"4-year, Public",32.296105,-90.207405
