"Electric.Power.Plant.Name","Operating.Utility.Name","City","State","Primary.Energy.Source","Maximum.Summer.Capacity..Megawatts.","Longitude","Latitude"
"Tower","Wolverine Power Supply Coop","Tower","Michigan","petroleum",19.3,-84.29497,45.36282
"Caro","Thumb Electric Coop of Mich","Caro","Michigan","petroleum",8.5,-83.3278,43.4659
"Ubly","Thumb Electric Coop of Mich","Ubly","Michigan","petroleum",12.3,-82.9388,43.7217
"George Johnson","Wolverine Power Supply Coop","Hersey","Michigan","natural gas",49.7,-85.426,43.8393
"Claude Vandyke","Wolverine Power Supply Coop","Dorr","Michigan","natural gas",20.2,-85.8551,42.731
"Vestaburg","Wolverine Power Supply Coop","Vestaburg","Michigan","natural gas",18.5,-84.9141,43.4016
"Syl Laskin","ALLETE, Inc.","Hoyt Lakes","Minnesota","natural gas",98,-92.1619,47.5306
"Blanchard","ALLETE, Inc.","Royalton","Minnesota","hydroelectric",16.2,-94.3592,45.8614
"Clay Boswell","ALLETE, Inc.","Cohasset","Minnesota","coal",937.8,-93.6528,47.2611
"Fond Du Lac","ALLETE, Inc.","Duluth","Minnesota","hydroelectric",13.1,-92.293897,46.666768
"Knife Falls","ALLETE, Inc.","Cloquet","Minnesota","hydroelectric",2.3,-92.448619,46.726627
"Little Falls (MN)","ALLETE, Inc.","Little Falls","Minnesota","hydroelectric",5.1,-94.369094,45.975013
"M L Hibbard","ALLETE, Inc.","Duluth","Minnesota","biomass",60,-92.151711,46.735331
"Pillager","ALLETE, Inc.","Pillager","Minnesota","hydroelectric",1.7,-94.484944,46.316033
"Scanlon","ALLETE, Inc.","Scanlon","Minnesota","hydroelectric",1.6,-92.421733,46.709126
"Sylvan","ALLETE, Inc.","Pillager","Minnesota","hydroelectric",1.8,-94.3775,46.305
"Thomson","ALLETE, Inc.","Carlton","Minnesota","hydroelectric",76.2,-92.3333,46.655
"Winton","ALLETE, Inc.","Winton","Minnesota","hydroelectric",4.1,-91.7639,47.9344
"Black Dog","Northern States Power Co - Minnesota","Burnsville","Minnesota","natural gas",491,-93.2501,44.8108
"Hennepin Island","Northern States Power Co - Minnesota","Minneapolis","Minnesota","hydroelectric",6.1,-93.254163,44.982359
"High Bridge","Northern States Power Co - Minnesota","St. Paul","Minnesota","natural gas",530,-93.1117,44.9314
"Inver Hills","Northern States Power Co - Minnesota","Inver Grove Heights","Minnesota","natural gas",285.6,-93.042,44.781
"Allen S King","Northern States Power Co - Minnesota","Oak Park Heights","Minnesota","coal",511,-92.7786,45.03
"Monticello Nuclear Facility","Northern States Power Co - Minnesota","Monticello","Minnesota","nuclear",617,-93.8493,45.3338
"Prairie Island","Northern States Power Co - Minnesota","Welch","Minnesota","nuclear",1040,-92.6333,44.622
"Red Wing","Northern States Power Co - Minnesota","Red Wing","Minnesota","biomass",18,-92.516912,44.5692
"Riverside (MN)","Northern States Power Co - Minnesota","Minneapolis","Minnesota","natural gas",454,-93.2753,45.0203
"St James","City of St James - (MN)","St James","Minnesota","petroleum",12,-94.61564,43.988158
"Wilmarth","Northern States Power Co - Minnesota","Mankato","Minnesota","biomass",18,-94.0009,44.1967
"Hoot Lake","Otter Tail Power Co","Fergus Falls","Minnesota","hydroelectric",0.8,-96.043252,46.290641
"Adrian","Adrian Public Utilities Comm","Adrian","Minnesota","petroleum",2,-95.932794,43.63711
"Alexandria","City of Alexandria - (MN)","Alexandria","Minnesota","petroleum",8.2,-95.379722,45.889167
"Benson City of","City of Benson - (MN)","Benson","Minnesota","petroleum",9,-95.602777,45.314444
"Blooming Prairie","City of Blooming Prairie - (MN)","Blooming Prairie","Minnesota","petroleum",8.3,-93.0504,43.866
"Blue Earth","Blue Earth Light & Water","Blue Earth","Minnesota","petroleum",11,-94.101667,43.6375
"Delano","Delano Municipal Utilities","Delano","Minnesota","petroleum",25.5,-93.790522,45.041378
"Detroit Lakes","City of Detroit Lakes - (MN)","Detroit Lakes","Minnesota","petroleum",9.6,-95.843333,46.8175
"Fairfax","City of Fairfax - (MN)","Fairfax","Minnesota","petroleum",1.9,-94.718812,44.525887
"Fairmont (MN)","Southern Minnesota Mun P Agny","Fairmont","Minnesota","natural gas",38,-94.4647,43.6579
"Glencoe","Glencoe Light & Power Comm","Glencoe","Minnesota","petroleum",35.7,-94.1582,44.7709
"Grand Marais","City of Grand Marais - (MN)","Grand Marais","Minnesota","petroleum",6.1,-90.357222,47.750278
"Granite Falls","City of Granite Falls - (MN)","Granite Falls","Minnesota","hydroelectric",1.1,-95.53455,44.811685
"Hibbing","Hibbing Public Utilities Comm","Hibbing","Minnesota","natural gas",32.1,-92.935,47.4294
"Hutchinson Plant #1","Hutchinson Utilities Comm","Hutchinson","Minnesota","natural gas",28.9,-94.368433,44.895741
"Janesville","City of Janesville - (MN)","Janesville","Minnesota","petroleum",4.3,-93.7073,44.1172
"Kenyon Municipal","Kenyon Municipal Utilities","Kenyon","Minnesota","petroleum",5.4,-92.9848,44.2718
"Lake Crystal","City of Lake Crystal - (MN)","Lake Crystal","Minnesota","petroleum",5.8,-94.219697,44.106888
"Lanesboro","Lanesboro Public Utility Comm","Lanesboro","Minnesota","petroleum",2.3,-91.977738,43.720026
"Litchfield","Litchfield Public Utilities","Litchfield","Minnesota","petroleum",21.9,-94.53515,45.128164
"Luverne","City of Luverne - (MN)","Luverne","Minnesota","petroleum",9.7,-96.201944,43.654444
"Marshall (MN)","City of Marshall - (MN)","Marshall","Minnesota","petroleum",13.9,-95.792118,44.446585
"Melrose","Melrose Public Utilities","Melrose","Minnesota","petroleum",8.1,-94.815277,45.675
"Moose Lake","Moose Lake Water & Light Comm","Moose Lake","Minnesota","petroleum",10.2,-92.760557,46.454097
"Mora","City of Mora - (MN)","Mora","Minnesota","petroleum",13.2,-93.295137,45.877088
"Mountain Lake","City of Mountain Lake - (MN)","Mountain Lake","Minnesota","petroleum",6.9,-94.9434,43.9405
"New Prague","New Prague Utilities Comm","New Prague","Minnesota","natural gas",16.8,-93.5731,44.5431
"New Ulm","New Ulm Public Utilities Comm","New Ulm","Minnesota","petroleum",70.6,-94.4581,44.3159
"North Branch (MN)","North Branch Water & Light Comm","North Branch","Minnesota","petroleum",10,-92.979042,45.510601
"Owatonna","City of Owatonna - (MN)","Owatonna","Minnesota","natural gas",16.6,-93.23,44.0833
"Preston (MN)","Preston Public Utilities Comm","Preston","Minnesota","natural gas",4.1,-92.0831,43.6661
"Princeton (MN)","Princeton Public Utils Comm","Princeton","Minnesota","petroleum",12.8,-93.587244,45.569468
"Rochester Hydro","Rochester Public Utilities","Mazeppa","Minnesota","hydroelectric",2.6,-92.480177,44.212981
"Redwood Falls","Redwood Falls Public Util Comm","Redwood Falls","Minnesota","natural gas",8.6,-95.1178,44.5431
"Sleepy Eye","Sleepy Eye Public Utility Comm","Sleepy Eye","Minnesota","petroleum",11.2,-94.725191,44.298116
"Springfield (MN)","Springfield Public Utils Comm - (MN)","Springfield","Minnesota","petroleum",9,-94.976262,44.239539
"Spring Valley","Spring Valley Pub Utils Comm","Spring Valley","Minnesota","petroleum",7.1,-92.389392,43.687322
"Thief River Falls","City of Thief River Falls","Thief River Falls","Minnesota","petroleum",5.8,-96.179176,48.114262
"Truman","City of Truman","Truman","Minnesota","petroleum",6,-94.436908,43.828415
"Wells IC","City of Wells - (MN)","Wells","Minnesota","natural gas",8.8,-93.724129,43.74453
"Westbrook","City of Westbrook","Westbrook","Minnesota","petroleum",2,-95.4429,44.0399
"Willmar","Willmar Municipal Utilities","Willmar","Minnesota","wind",4,-95.053236,45.121705
"Windom","City of Windom","Windom","Minnesota","petroleum",10.7,-95.114444,43.86811
"Worthington","City of Worthington - (MN)","Worthington","Minnesota","petroleum",19.6,-95.609234,43.63349
"Cambridge CT Hybrid","Great River Energy","Cambridge","Minnesota","natural gas",173.7,-93.2081,45.601
"Elk River","Great River Energy","Elk River","Minnesota","natural gas",179.4,-93.558447,45.296797
"Maple Lake","Great River Energy","Maple Lake","Minnesota","petroleum",21.1,-94.009673,45.229073
"Chevron Oil","Mississippi Power Co","Pascagoula","Mississippi","natural gas",137,-88.4919,30.34
"Sweatt","Mississippi Power Co","Meridian","Mississippi","natural gas",32,-88.7461,32.2925
"Jack Watson","Mississippi Power Co","Gulfport","Mississippi","natural gas",754,-89.0286,30.4392
"L L Wilkins","Clarksdale Public Utilities","Clarksdale","Mississippi","natural gas",49.5,-90.562662,34.1845
"Yazoo","Public Serv Comm of Yazoo City","Yazoo City","Mississippi","natural gas",33.3,-90.4211,32.8458
"Benndale","Cooperative Energy","Benndale","Mississippi","natural gas",22.6,-88.8054,30.8889
"Moselle","Cooperative Energy","Moselle","Mississippi","natural gas",477,-89.3004,31.528
"Hawthorn","Evergy Metro","Kansas City","Missouri","coal",954.9,-94.4778,39.1306
"Northeast (MO)","Evergy Metro","Kansas City","Missouri","petroleum",396.1,-94.5606,39.1228
"Fairgrounds","Union Electric Co - (MO)","Jefferson City","Missouri","petroleum",55,-92.2206,38.5935
"Nevada","Evergy Missouri West","Nevada","Missouri","petroleum",16,-94.3444,37.8503
"Ralph Green","Evergy Missouri West","Pleasant Hill","Missouri","natural gas",69.4,-94.277689,38.78758
"Lake Road (MO)","Evergy Missouri West","St Joseph","Missouri","natural gas",231.5,-94.8773,39.7246
"Niangua","Sho-Me Power Electric Coop","Camdenton","Missouri","hydroelectric",3,-92.847701,37.9385
"Labadie","Union Electric Co - (MO)","Labadie","Missouri","coal",2372,-90.837686,38.562244
"Osage Dam","Union Electric Co - (MO)","Eldon","Missouri","hydroelectric",234,-92.6239,38.2044
"Sioux","Union Electric Co - (MO)","West Alton","Missouri","coal",974,-90.290247,38.915479
"Taum Sauk","Union Electric Co - (MO)","Lesterville","Missouri","pumped storage",440,-90.834722,37.520833
"Butler Municipal Power Plant","City of Butler - (MO)","Butler","Missouri","petroleum",9.3,-94.344385,38.264408
"Carrollton","Carrollton Board of Public Wks","Carrollton","Missouri","natural gas",19.5,-93.5016,39.3515
"Carthage","City of Carthage - (MO)","Carthage","Missouri","natural gas",35.7,-94.299431,37.176646
"Chillicothe","Chillicothe Municipal Utils","Chillicothe","Missouri","natural gas",90,-93.564112,39.783388
"Columbia (MO)","City of Columbia - (MO)","Columbia","Missouri","natural gas",61.1,-92.316768,38.964646
"Stockton Hydro","USCE-Kansas City District","Stockton","Missouri","hydroelectric",52,-93.7691,37.6936
"Fayette","City of Fayette - (MO)","Fayette","Missouri","petroleum",9.2,-92.68,39.1406
"Fulton (MO)","City of Fulton - (MO)","Fulton","Missouri","natural gas",25.3,-91.94778,38.868095
"Gallatin (MO)","City of Gallatin - (MO)","Gallatin","Missouri","petroleum",7,-93.953889,39.917222
"Higginsville","City of Higginsville - (MO)","Higginsville","Missouri","natural gas",47.2,-93.714748,39.073315
"Jackson Square","City of Independence - (MO)","Independence","Missouri","petroleum",30,-94.411522,39.094574
"Station H","City of Independence - (MO)","Independence","Missouri","natural gas",39,-94.3804,39.1067
"Station I","City of Independence - (MO)","Independence","Missouri","petroleum",38,-94.392957,39.055954
"Jackson (MO)","City of Jackson - (MO)","Jackson","Missouri","petroleum",25.3,-89.6606,37.3847
"Kahoka","City of Kahoka","Kahoka","Missouri","petroleum",7.1,-91.7206,40.4225
"Kennett","City of Kennett - (MO)","Kennett","Missouri","natural gas",28.2,-90.0521,36.2338
"La Plata","City of La Plata - (MO)","La Plata","Missouri","petroleum",3.4,-92.4896,40.0244
"Macon","City of Macon - (MO)","Macon","Missouri","petroleum",0.7,-92.4689,39.7378
"Malden","City of Malden - (MO)","Malden","Missouri","petroleum",14.7,-89.9682,36.5531
"Marshall (MO)","City of Marshall - (MO)","Marshall","Missouri","natural gas",29.3,-93.2064,39.1228
"Memphis","City of Memphis - (MO)","Memphis","Missouri","petroleum",8.8,-92.181,40.4578
"James River Power Station","City Utilities of Springfield - (MO)","Springfield","Missouri","natural gas",155,-93.261944,37.108611
"Unionville City of","City of Unionville - (MO)","Unionville","Missouri","petroleum",8,-93.010018,40.476742
"Table Rock","USCE-Little Rock District","Branson","Missouri","hydroelectric",216.5,-93.3086,36.597
"New Madrid","Associated Electric Coop, Inc","New Madrid","Missouri","coal",1200,-89.5617,36.5147
"Thomas Hill","Associated Electric Coop, Inc","Clifton Hill","Missouri","coal",1130,-92.6381,39.5522
"Glendive GT","Montana-Dakota Utilities Co","Glendive","Montana","natural gas",74.9,-104.74,47.0539
"Miles City GT","Montana-Dakota Utilities Co","Miles City","Montana","natural gas",23.6,-105.7953,46.4112
"Black Eagle","NorthWestern Energy (MT Hydro)","Great Falls","Montana","hydroelectric",24,-111.261442,47.521331
"Cochrane","NorthWestern Energy (MT Hydro)","Great Falls","Montana","hydroelectric",63,-111.194969,47.5375
"Hauser","NorthWestern Energy (MT Hydro)","Helena","Montana","hydroelectric",16.3,-111.887341,46.765941
"Holter","NorthWestern Energy (MT Hydro)","Wolf Creek","Montana","hydroelectric",51.9,-112.0047,46.9915
"Selis Ksanka Qlispe","Energy Keepers Inc","Polson","Montana","hydroelectric",227.8,-114.2339,47.6777
"Morony","NorthWestern Energy (MT Hydro)","Great Falls","Montana","hydroelectric",49,-111.060898,47.581737
"Mystic","NorthWestern Energy (MT Hydro)","Fishtail","Montana","hydroelectric",12,-109.762489,45.225741
"Rainbow (MT)","NorthWestern Energy (MT Hydro)","Great Falls","Montana","hydroelectric",64,-111.2045,47.5344
"Ryan","NorthWestern Energy (MT Hydro)","Great Falls","Montana","hydroelectric",71.5,-111.122546,47.569939
"Thompson Falls","NorthWestern Energy (MT Hydro)","Thompson Falls","Montana","hydroelectric",93.5,-115.358237,47.593155
"Old Faithful","NorthWestern Energy (MT wind/thermal)","Yellowstone","Wyoming","petroleum",2,-110.8347,44.4533
"Noxon Rapids","Avista Corp","Noxon","Montana","hydroelectric",580.7,-115.73361,47.96048
"Hungry Horse","U S Bureau of Reclamation","Columbia Falls","Montana","hydroelectric",428,-114.01443,48.341521
"Yellowtail","U S Bureau of Reclamation","Hardin","Montana","hydroelectric",287.5,-107.957515,45.307406
"Ansley","City of Ansley - (NE)","Ansley","Nebraska","natural gas",1.3,-99.386336,41.289185
"Auburn","Auburn Board of Public Works","Auburn","Nebraska","petroleum",17.5,-95.8464,40.3883
"Beaver City","City of Beaver City - (NE)","Beaver City","Nebraska","natural gas",1.7,-99.827772,40.130304
"Broken Bow","City of Broken Bow - (NE)","Broken Bow","Nebraska","natural gas",8.4,-99.6392,41.4031
"Burwell","City of Burwell - (NE)","Burwell","Nebraska","petroleum",3.9,-99.136071,41.780313
"Cambridge","City of Cambridge - (NE)","Cambridge","Nebraska","petroleum",4,-100.176836,40.286178
"Campbell Village","Village of Campbell - (NE)","Campbell","Nebraska","petroleum",1,-98.7331,40.2992
"Canaday","Nebraska Public Power District","Lexington","Nebraska","natural gas",99.3,-99.7011,40.6942
"Jeffrey","Central Nebraska Pub P&I Dist","Brady","Nebraska","hydroelectric",21,-100.397905,40.959405
"Johnson 1","Central Nebraska Pub P&I Dist","Elwood","Nebraska","hydroelectric",20,-99.8178,40.6936
"Johnson 2","Central Nebraska Pub P&I Dist","Lexington","Nebraska","hydroelectric",22.5,-99.7447,40.6839
"Chappell","City of Chappell - (NE)","Chappell","Nebraska","petroleum",1,-102.471547,41.092589
"Crete","City of Crete","Crete","Nebraska","natural gas",6,-96.9601,40.6253
"Curtis","City of Curtis - (NE)","Curtis","Nebraska","natural gas",3,-100.515161,40.631453
"David City","City of David City","David City","Nebraska","petroleum",8.7,-97.119202,41.254652
"Deshler","City of Deshler - (NE)","Deshler","Nebraska","petroleum",1.7,-97.7239,40.1408
"Emerson","City of Emerson - (NE)","Emerson","Nebraska","natural gas",1.6,-96.7292,42.276
"Falls City","City of Falls City - (NE)","Falls City","Nebraska","natural gas",29.2,-95.6083,40.055
"Franklin (NE)","City of Franklin - (NE)","Franklin","Nebraska","natural gas",3.9,-98.9508,40.0892
"Lon Wright","City of Fremont - (NE)","Fremont","Nebraska","coal",158.8,-96.4623,41.4281
"C W Burdick","City of Grand Island - (NE)","Grand Island","Nebraska","natural gas",81.6,-98.3269,40.9228
"Don Henry","City of Hastings - (NE)","Hastings","Nebraska","natural gas",18,-98.420055,40.583155
"North Denver","City of Hastings - (NE)","Hastings","Nebraska","natural gas",39,-98.38863,40.598839
"Laurel","City of Laurel - (NE)","Laurel","Nebraska","natural gas",2.9,-97.090814,42.430539
"J Street","Lincoln Electric System","Lincoln","Nebraska","natural gas",30.1,-96.710667,40.80788
"Lyons","City of Lyons - (NE)","Lyons","Nebraska","petroleum",1.1,-96.4668,41.9374
"Nebraska City # 1","City of Nebraska City","Nebraska","Nebraska","natural gas",22.6,-95.8475,40.6806
"Syracuse # 2","City of Nebraska City","Syracuse","Nebraska","natural gas",3.2,-96.177778,40.6756
"Columbus","Loup River Public Power Dist","Columbus","Nebraska","hydroelectric",45,-97.3283,41.4639
"Hallam","Nebraska Public Power District","Hallam","Nebraska","petroleum",42.9,-96.786177,40.558652
"Hebron","Nebraska Public Power District","Hebron","Nebraska","petroleum",42,-97.577857,40.187928
"Kearney","Nebraska Public Power District","Kearney","Nebraska","hydroelectric",1,-99.100753,40.703511
"McCook","Nebraska Public Power District","McCook","Nebraska","petroleum",40.9,-100.6508,40.2214
"Monroe (NE)","Loup River Public Power Dist","Monroe","Nebraska","hydroelectric",2.1,-97.6078,41.4872
"North Platte","Nebraska Public Power District","North Platte","Nebraska","hydroelectric",24,-100.7594,41.0864
"Sheldon","Nebraska Public Power District","Hallam","Nebraska","coal",216,-96.7847,40.5589
"Jones Street","Omaha Public Power District","Omaha","Nebraska","petroleum",123.5,-95.922682,41.251488
"North Omaha","Omaha Public Power District","Omaha","Nebraska","coal",563.9,-95.94466,41.32909
"Sarpy County","Omaha Public Power District","Bellevue","Nebraska","natural gas",315.9,-95.970603,41.170594
"Ord","City of Ord - (NE)","Ord","Nebraska","petroleum",10.8,-98.926144,41.604164
"Oxford (NE)","Village of Oxford - (NE)","Oxford","Nebraska","natural gas",3,-99.6108,40.2581
"Pender","City of Pender - (NE)","Pender","Nebraska","petroleum",4.5,-96.705431,42.114742
"Red Cloud","City of Red Cloud - (NE)","Red Cloud","Nebraska","petroleum",5.2,-98.519032,40.097954
"Sargent","City of Sargent - (NE)","Sargent","Nebraska","petroleum",2.4,-99.3698,41.641588
"Sidney (NE)","City of Sidney - (NE)","Sidney","Nebraska","natural gas",4.1,-102.977836,41.145634
"Spalding","Village of Spalding - (NE)","Spalding","Nebraska","petroleum",2.1,-98.36756,41.68138
"Stuart (NE)","City of Stuart - (NE)","Stuart","Nebraska","petroleum",1.5,-99.143707,42.599377
"Tecumseh","City of Tecumseh","Tecumseh","Nebraska","natural gas",6.6,-96.19,40.3664
"Wahoo","City of Wahoo - (NE)","Wahoo","Nebraska","natural gas",13.6,-96.61155,41.211798
"Wakefield","City of Wakefield - (NE)","Wakefield","Nebraska","petroleum",3.2,-96.8621,42.2691
"Wayne IC","City of Wayne","Wayne","Nebraska","petroleum",20.2,-97.0183,42.2278
"West Point Municipal","City of West Point - (NE)","West Point","Nebraska","natural gas",4.4,-96.71345,41.844936
"Wilber","City of Wilber","Wilber","Nebraska","petroleum",3.1,-96.9604,40.4797
"Wisner","City of Wisner","Wisner","Nebraska","petroleum",3.8,-96.915994,41.988069
"Clark (NVE)","Nevada Power Co","Las Vegas","Nevada","natural gas",1141,-115.0507,36.0875
"Reid Gardner","Nevada Power Co","Moapa","Nevada","batteries",220,-114.633263,36.657347
"Fort Churchill","Sierra Pacific Power Co","Yerington","Nevada","natural gas",226,-119.1322,39.1281
"Tracy","Sierra Pacific Power Co","Sparks","Nevada","natural gas",953.6,-119.525,39.5625
"Comerford","Great River Hydro, LLC","Monroe","New Hampshire","hydroelectric",165.9,-72.000975,44.325053
"S C Moore","Great River Hydro, LLC","Littleton","New Hampshire","hydroelectric",193.4,-71.8742,44.3356
"Vernon Dam","Great River Hydro, LLC","Vernon","Vermont","hydroelectric",33.8,-72.5146,42.77165
"Wilder","Great River Hydro, LLC","Hartford","Vermont","hydroelectric",39,-72.303642,43.667927
"Amoskeag","Central Rivers Power NH, LLC","Manchester","New Hampshire","hydroelectric",16.8,-71.47208,43.00223
"Ayers Island","Central Rivers Power NH, LLC","Bristol","New Hampshire","hydroelectric",8.4,-71.717683,43.597849
"Eastman Falls","Central Rivers Power NH, LLC","Franklin","New Hampshire","hydroelectric",5.6,-71.6579,43.447219
"Garvins Falls","Central Rivers Power NH, LLC","Bow","New Hampshire","hydroelectric",12.3,-71.509441,43.165524
"Gorham","Central Rivers Power NH, LLC","Gorham","New Hampshire","hydroelectric",2,-71.195354,44.408278
"Hooksett","Central Rivers Power NH, LLC","Hooksett","New Hampshire","hydroelectric",1.6,-71.465662,43.101699
"Jackman","Central Rivers Power NH, LLC","Hillsborough","New Hampshire","hydroelectric",3.6,-71.94889,43.11055
"Lost Nation","Granite Shore Power","Groveton","New Hampshire","petroleum",14,-71.494398,44.595117
"Merrimack","Granite Shore Power","Bow","New Hampshire","coal",472.1,-71.4692,43.1411
"Schiller","Granite Shore Power","Portsmouth","New Hampshire","coal",155.5,-70.7842,43.0978
"Smith (NH)","Central Rivers Power NH, LLC","Berlin","New Hampshire","hydroelectric",11.7,-71.178062,44.469463
"White Lake","Granite Shore Power","Tamworth","New Hampshire","petroleum",17.5,-71.2069,43.8478
"Sayreville","Sayreville Power, LLC","Sayreville","New Jersey","petroleum",216.9,-74.352336,40.476525
"Gilbert","Gilbert Power, LLC","Milford","New Jersey","natural gas",455.2,-75.163889,40.565833
"Bergen Generating Station","Bergen Generating Station","Ridgefield","New Jersey","natural gas",1255,-74.0244,40.8375
"PSEG Burlington Generating Station","Burlington Generating Station","Burlington","New Jersey","natural gas",168,-74.879172,40.076611
"PSEG Kearny Generating Station","Kearny Generating Station","Kearny","New Jersey","natural gas",456.4,-74.096464,40.737283
"PSEG Linden Generating Station","Linden Combined Cycle","Linden","New Jersey","natural gas",1636.2,-74.2072,40.6217
"PSEG Salem Generating Station","PSEG Nuclear LLC","Hancocks Bridge","New Jersey","nuclear",2323.1,-75.5358,39.4625
"PSEG Sewaren Generating Station","Sewaren Generating Station","Sewaren","New Jersey","natural gas",538,-74.2469,40.5558
"Howard Down","City of Vineland - (NJ)","Vineland","New Jersey","natural gas",55,-75.0347,39.4889
"Four Corners","Arizona Public Service Co","Fruitland","New Mexico","coal",1540,-108.4814,36.69
"Rio Grande","El Paso Electric Co","SunLand Park","New Mexico","natural gas",313,-106.5472,31.8047
"Maddox","Southwestern Public Service Co","Hobbs","New Mexico","natural gas",188,-103.301469,32.714224
"Reeves","Public Service Co of NM","Albuquerque","New Mexico","natural gas",146,-106.6019,35.171
"Cunningham","Southwestern Public Service Co","Hobbs","New Mexico","natural gas",390,-103.3533,32.7131
"Algodones","Public Service Co of NM","Algodones","New Mexico","natural gas",45,-106.464167,35.384444
"Danskammer Generating Station","Danskammer Energy","Newburgh","New York","natural gas",502.3,-73.96457,41.573361
"Dashville","Central Hudson Gas & Elec Corp","Dashville","New York","hydroelectric",4.8,-74.0497,41.8217
"Neversink","New York Power Authority","Grahmsville","New York","hydroelectric",25,-74.6358,41.8194
"Sturgeon","Central Hudson Gas & Elec Corp","Tillson","New York","hydroelectric",14.4,-74.046678,41.848191
"Coxsackie","Central Hudson Gas & Elec Corp","Coxsackie","New York","natural gas",20.2,-73.815798,42.350889
"Arthur Kill Generating Station","NRG Arthur Kill Operations Inc","Staten Island","New York","natural gas",896,-74.200035,40.591564
"East River","Consolidated Edison Co-NY Inc","New York","New York","natural gas",630.7,-73.9742,40.7281
"Gowanus Gas Turbines Generating","U S Power Generating Company LLC","Brooklyn","New York","natural gas",580.2,-74.0051,40.6635
"Narrows Gas Turbines Generating","U S Power Generating Company LLC","Brooklyn","New York","natural gas",309.1,-74.020833,40.648611
"Ravenswood","Ravenswood Operations LLC","Long Island","New York","natural gas",1955,-73.946111,40.759167
"59th Street","Consolidated Edison Co-NY Inc","New York","New York","natural gas",14.5,-73.99115,40.771285
"74th Street","Consolidated Edison Co-NY Inc","New York","New York","petroleum",37.8,-73.9515,40.768
"E F Barrett","National Grid Generation LLC","Island Park","New York","natural gas",653.6,-73.647881,40.616689
"East Hampton","National Grid Generation LLC","East Hampton","New York","petroleum",25.2,-72.210277,40.961706
"Glenwood","National Grid Generation LLC","Glenwood Landing","New York","petroleum",104.1,-73.647473,40.827149
"Northport","National Grid Generation LLC","Northport","New York","natural gas",1604,-73.342323,40.923565
"Port Jefferson","National Grid Generation LLC","Port Jefferson","New York","natural gas",480.6,-73.078507,40.949696
"Shoreham","National Grid Generation LLC","Wading River","New York","petroleum",65.7,-72.864976,40.96159
"South Hampton","National Grid Generation LLC","Southampton","New York","petroleum",8.5,-72.381977,40.899997
"Southold","National Grid Generation LLC","Greenport","New York","petroleum",10,-72.3761,41.1059
"West Babylon","National Grid Generation LLC","West Babylon","New York","petroleum",49.7,-73.348573,40.695485
"Cadyville","New York State Elec & Gas Corp","Town ofSchuyler Falls","New York","hydroelectric",5.5,-73.6219,44.695
"Greenidge Generation LLC","Greenidge Generation Holdings LLC","Dresden","New York","natural gas",104.5,-76.9483,42.6789
"Harris Lake","New York State Elec & Gas Corp","Town of Newcomb","New York","petroleum",4,-74.1861,43.9719
"High Falls - Saranac NY","New York State Elec & Gas Corp","Town of Saranac","New York","hydroelectric",15,-73.7492,44.6389
"Kent Falls","New York State Elec & Gas Corp","Town of SchuylerFalls","New York","hydroelectric",13.6,-73.5967,44.7053
"Bethlehem Energy Center","GB II New York LLC","Glenmont","New York","natural gas",815.5,-73.763752,42.594196
"Allens Falls","Erie Boulevard Hydropower LP","Parishville","New York","hydroelectric",3.5,-74.860265,44.660338
"Beardslee","Erie Boulevard Hydropower LP","Little Falls","New York","hydroelectric",16.6,-74.741349,43.019113
"Belfort","Erie Boulevard Hydropower LP","Croghan","New York","hydroelectric",1.8,-75.3331,43.9275
"Bennetts Bridge","Erie Boulevard Hydropower LP","Altmar","New York","hydroelectric",30.3,-75.9531,43.5317
"Black River","Erie Boulevard Hydropower LP","Black River","New York","hydroelectric",4.5,-75.813151,44.000122
"Blake","Erie Boulevard Hydropower LP","Parishville","New York","hydroelectric",14.2,-74.753442,44.506474
"Browns Falls","Erie Boulevard Hydropower LP","Oswegatchie","New York","hydroelectric",15.8,-75.059441,44.211407
"Chasm","Erie Boulevard Hydropower LP","Malone","New York","hydroelectric",1.6,-74.2169,44.7533
"Colton","Erie Boulevard Hydropower LP","Pierrepont","New York","hydroelectric",29.7,-74.9583,44.5839
"Deferiet","Erie Boulevard Hydropower LP","Deferiet","New York","hydroelectric",10.8,-75.6806,44.0381
"Eagle","Erie Boulevard Hydropower LP","Croghan","New York","hydroelectric",5.8,-75.200831,43.909714
"Eel Weir","Erie Boulevard Hydropower LP","Oswegatchie","New York","hydroelectric",2,-75.49052,44.638365
"Effley","Erie Boulevard Hydropower LP","Croghan","New York","hydroelectric",2.9,-75.277923,43.922831
"Elmer","Erie Boulevard Hydropower LP","Croghan","New York","hydroelectric",2,-75.288322,43.927536
"Ephratah","Erie Boulevard Hydropower LP","Saint Johnsville","New York","hydroelectric",3.7,-74.5372,43.0092
"East Norfolk","Erie Boulevard Hydropower LP","Norfolk","New York","hydroelectric",4.1,-74.9856,44.7989
"Five Falls","Erie Boulevard Hydropower LP","Colton","New York","hydroelectric",22.4,-74.849177,44.527491
"Flat Rock","Erie Boulevard Hydropower LP","Fine","New York","hydroelectric",5.2,-75.0742,44.2217
"Franklin (NY)","Erie Boulevard Hydropower LP","Franklin","New York","hydroelectric",2,-73.9725,44.4372
"Fulton Hydro","Erie Boulevard Hydropower LP","Fulton","New York","hydroelectric",0.2,-76.418984,43.32411
