name,institution_type,latitude,longitude
"436. MasTec Network Solutions,  Gables, FL, USA",Fortune 500 HQ,25.7632876,-80.25677960000002
318. Xerox,Fortune 500 HQ,41.11774399999999,-73.40815750000002
"435. Arthur Gallagher Rolling Meadows, IL, USA",Fortune 500 HQ,42.0535852,-88.0168425
"434. Olin Corporation,Clayton, MO, USA",Fortune 500 HQ,38.6482951,-90.33320500000002
317. Owens & Minor,Fortune 500 HQ,37.6087561,-77.37331389999997
"433. Travelcenters of America, Westlake, Ohio, USA",Fortune 500 HQ,41.4553232,-81.9179173
"316. Sonic Automotive, Colwick Road, Charlotte, NC, USA",Fortune 500 HQ,35.17670459999999,-80.79698480000002
"432. Packaging Corp of America, Lake Forest, IL, USA",Fortune 500 HQ,42.25863419999999,-87.84062499999999
315. Mohawk Industries,Fortune 500 HQ,34.502587,-84.95105419999999
"431. Owens Corning, Toledo, OH, USA",Fortune 500 HQ,41.64616789999999,-83.53424540000003
314. Republic Services,Fortune 500 HQ,33.4483771,-112.0740373
"430. Insight Enterprises, Inc., Tempe, AZ, USA",Fortune 500 HQ,33.3422522,-111.95273020000002
"429. Sanmina Corporation, San Jose, CA, USA",Fortune 500 HQ,37.390754,-121.930046
"428. Toll Brothers, Horsham, PA, USA",Fortune 500 HQ,40.1784422,-75.12850609999998
313. Eastman Chemical,Fortune 500 HQ,36.54843399999999,-82.56181859999998
"427. American Financial Group, Cincinnati, OH, USA",Fortune 500 HQ,39.1031182,-84.51201960000003
312. PulteGroup,Fortune 500 HQ,33.7489954,-84.3879824
"426. Celanese Corporation,  Irving, TX, USA",Fortune 500 HQ,32.871208,-96.943557
"425. Avery Dennison, Glendale, CA, USA",Fortune 500 HQ,34.1425078,-118.25507500000003
311. Leidos Holdings,Fortune 500 HQ,37.5407246,-77.4360481
"424. NVR Inc, Reston, VA, USA",Fortune 500 HQ,38.95194459999999,-77.35020910000003
"423. Graybar Electric Supply, St. Louis, MO, USA",Fortune 500 HQ,38.7082563,-90.3327602
"422. Everett, WA, USA",Fortune 500 HQ,47.9789848,-122.20207949999995
"421. Western & Southern Financial Group Findlay, OH, USA",Fortune 500 HQ,41.04276249999999,-83.62882630000001
"420. Spirit Aerosystems Holdings, Wichita, KS, USA",Fortune 500 HQ,37.68717609999999,-97.33005300000002
"419. Newmont Goldcorp, Greenwood Village, CO, USA",Fortune 500 HQ,39.61721010000001,-104.9508141
"418. American Axle and Manufacturing, Detroit, MI, USA",Fortune 500 HQ,42.33142699999999,-83.0457538
"417. Magellan Health, Scottsdale, AZ, USA",Fortune 500 HQ,33.5084918,-111.92719069999998
"416. Motorola Solutions Inc, Chicago, IL, USA",Fortune 500 HQ,41.8809559,-87.6406245
"415. Citizens Financial Group, Providence, RI, USA",Fortune 500 HQ,41.827414,-71.410773
